composition_label,n_positions,D_act,D_coke,D_rem,D_CO2,z
Co23Ni26Pd18Rh22Ru19,8,2.2921207286417484,2.2793696403503416,-1.2691094398498535,0.7310132185618083,1.1011429039328804
Co13Ni25Pd13Rh32Ru25,8,2.1341901272535324,2.136911153793335,-1.0736109188624792,1.1225876467568532,1.096035134315099
Co25Ni13Pd28Rh24Ru18,8,1.8918708190321922,2.1214513778686523,-1.1868354678153992,0.6207212924957275,1.094054736438061
Co25Ni22Pd27Rh14Ru20,8,2.029525026679039,2.1614356637001038,-1.1585881114006042,0.7582967877388,1.0897783798624607
Co21Ni16Pd31Rh19Ru21,8,1.7064549960196018,1.7592187821865082,-0.9026218950748444,1.5771934032440185,1.089673052137729
Co13Ni26Pd28Rh21Ru20,8,1.7887551113963127,1.8822544642857142,-1.1182068416050501,1.0471597399030412,1.0848171722487188
Co18Ni22Pd20Rh26Ru22,8,2.210969604551792,1.8344518343607585,-1.3450878461201985,1.3210957050323486,1.0835601753520285
Co15Ni27Pd20Rh25Ru21,8,1.9018641486763954,1.894251823425293,-1.1740722954273224,1.074677546819051,1.0834846968373315
Co18Ni30Pd22Rh23Ru15,8,2.353202361613512,2.6884219646453857,-1.3847250938415527,-0.30106909785951885,1.0800821254986122
Co19Ni19Pd27Rh17Ru26,8,1.7057374268770218,1.6977423599788122,-0.9556653499603271,1.56434383392334,1.078562325249092
Co27Ni17Pd13Rh26Ru25,8,1.9162872210144997,2.0123658180236816,-1.0435497760772705,1.0422015190124512,1.0740927117154626
Co19Ni21Pd21Rh23Ru24,8,1.7843257784843445,1.7732841968536377,-1.266272703806559,0.9442218542098997,1.0694592809329346
Co25Ni19Pd23Rh22Ru19,8,2.1682752557098866,2.156059304873149,-1.355081876118978,0.5231892381395612,1.0662770406259212
Co19Ni31Pd18Rh21Ru19,8,2.056105673313141,2.0280694166819253,-1.0600775480270386,1.1228277683258054,1.0619618914546582
Co26Ni20Pd17Rh30Ru15,8,2.1147072166204453,1.9664752880732217,-1.3101643721262615,0.8933989604314168,1.0615030221302804
Co19Ni13Pd23Rh28Ru25,8,1.9204928874969482,2.1604867577552795,-1.5318255424499512,-0.16099894046783458,1.058179822305212
Co19Ni24Pd20Rh27Ru18,8,1.5741422027349472,1.8151602268218994,-1.143741750717163,0.7392694950103759,1.0581051634902876
Co22Ni19Pd22Rh16Ru29,8,2.0544211864471436,2.085026184717814,-1.3366222381591797,0.5034890174865723,1.0561598339112974
Co16Ni23Pd24Rh16Ru29,8,1.9895544983446598,2.0423240264256797,-1.164413571357727,0.7620898314884731,1.0468908507050387
Co23Ni23Pd20Rh22Ru20,8,1.9152093268930912,1.9760993123054504,-0.9637530446052551,1.130049228668213,1.0438844766584978
Co19Ni19Pd27Rh23Ru20,8,2.240250028669834,1.8917502164840698,-1.24033784866333,1.2627514203389485,1.0432839519244463
Co15Ni22Pd22Rh25Ru24,8,1.897694043815136,1.7734576974596297,-1.1099699565342493,1.2591016973767961,1.0424922058385118
Co11Ni25Pd23Rh20Ru29,8,2.381745144724846,1.863039255142212,-1.7693069662366596,0.5859285593032838,1.0400176990738945
